date,open,high,low,close,volume,oi
2023-02-02,553.8,555.0,538.1,538.1,261,736
2023-02-03,534.1,541.1,529.3,533.9,37,744
2023-02-06,534.2,546.0,519.5,521.9,213,879
2023-02-07,525.8,535.5,518.4,535.5,114,880
2023-02-08,535.5,546.2,531.9,545.0,90,927
2023-02-09,546.8,553.3,546.1,552.8,62,935
2023-02-10,549.5,549.7,540.5,547.8,43,944
2023-02-13,556.9,557.3,551.4,553.5,175,943
2023-02-14,557.1,562.0,552.0,560.4,101,978
2023-02-15,558.3,558.3,548.0,552.0,101,1005
2023-02-16,551.8,562.0,548.0,560.9,151,987
2023-02-17,559.0,560.8,554.7,556.0,218,994
2023-02-20,547.0,553.8,542.4,552.7,344,1029
2023-02-21,553.6,555.6,546.8,548.0,268,1090
2023-02-22,550.6,552.5,544.9,545.5,153,1117
2023-02-23,547.2,548.2,537.7,537.8,180,1184
2023-02-24,541.0,551.6,541.0,550.6,235,1237
2023-02-27,550.6,553.8,542.0,546.8,1625,1999
2023-02-28,546.2,548.7,542.3,547.8,1614,2600
2023-03-01,552.1,557.0,551.9,555.6,1835,3234
2023-03-02,550.5,558.3,547.7,555.9,2376,3561
2023-03-03,557.2,564.4,557.2,562.5,2029,3533
2023-03-06,562.4,568.5,550.4,564.0,3019,3787
2023-03-07,562.6,583.0,561.8,577.4,2879,3803
2023-03-08,573.8,575.9,560.8,562.4,3042,4010
2023-03-09,561.8,564.7,556.6,559.6,3570,4190
2023-03-10,560.1,566.0,546.9,546.9,3197,4264
2023-03-13,547.7,558.5,546.7,554.2,3683,4411
2023-03-14,536.6,547.6,525.5,533.2,6172,4873
2023-03-15,532.5,540.5,526.0,529.0,5449,5545
2023-03-16,515.9,515.9,495.7,502.6,8550,5980
2023-03-17,502.0,513.8,490.9,506.3,7200,6325
2023-03-20,502.5,506.0,485.0,485.6,10848,6857
2023-03-21,497.4,500.0,489.6,496.5,7413,7190
2023-03-22,504.1,509.5,502.1,507.6,7624,7753
2023-03-23,510.3,517.1,506.6,510.1,6009,8022
2023-03-24,511.2,518.5,504.5,510.7,7376,7730
2023-03-27,497.3,511.9,497.3,511.7,7818,6365
2023-03-28,514.8,526.9,513.1,524.7,8689,6758
2023-03-29,524.7,531.8,522.4,530.9,5631,6533
2023-03-30,532.9,534.1,524.1,527.5,6774,6478
2023-03-31,529.4,533.5,526.2,530.8,5077,6463
2023-04-03,532.3,572.4,531.9,569.5,11321,5617
2023-04-04,571.4,581.9,568.4,581.4,8357,5510
2023-04-06,578.4,582.9,575.1,581.5,3007,5478
2023-04-07,583.0,588.0,576.0,586.5,7745,5754
2023-04-10,586.5,587.3,578.3,580.4,5227,5939
2023-04-11,576.0,583.3,573.8,580.0,6513,5722
2023-04-12,576.7,585.4,574.7,584.0,10343,5845
2023-04-13,586.3,594.6,584.8,592.1,10372,6528
2023-04-14,591.4,594.6,585.7,586.2,10254,6798
2023-04-17,585.9,592.4,584.2,589.1,12219,7506
2023-04-18,586.2,587.4,577.0,583.6,14554,8182
2023-04-19,578.7,584.0,574.7,577.3,16474,8424
2023-04-20,572.8,573.3,562.3,563.2,21465,8819
2023-04-21,560.1,561.8,550.6,550.6,19902,9014
2023-04-24,555.4,561.1,550.4,551.5,20959,10249
2023-04-25,553.4,568.1,552.3,565.7,21252,10322
2023-04-26,561.4,562.8,548.5,556.4,22844,11942
2023-04-27,546.4,550.2,526.2,527.8,38287,14416
2023-04-28,527.5,533.6,525.5,532.0,26546,15126
2023-05-04,491.0,500.3,488.2,499.1,27168,18510
