,ret_1d,ret_5d,ma_gap,vol_20,dxy_chg_5d_dir,us10y_chg_5d_dir,cpi_surprise_dir,nfp_surprise_dir,fed_exp_level,fed_exp_chg,demand_chg_5d,gpr_level_z,gpr_chg_5d,ev_supply_5d,ev_geo_5d,ev_demand_5d,ev_cpi_5d,ev_jobs_5d,ev_fed_5d,ev_view_5d,inst_bias
2023-11-01,-0.0071844728700929394,-0.059717433015063826,-0.05564972505161325,0.02713080568313509,-0.004119976960437199,0.1800000000000006,1.3316668729782164,1.380788046932071,0.814275698711298,0.6518517690489782,0.683862656348555,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-02,0.024801762374302427,-0.009054205633584722,-0.030938998692022324,0.027318486609116482,0.9068886767134576,0.1900000000000004,1.2864078476832381,1.3316841240153026,0.4049428169308445,0.24106211955044363,0.683862656348555,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-03,-0.023931926966864303,-0.06060270248687338,-0.05347463161694499,0.027796056331802498,1.507523054521931,0.2699999999999996,1.2455017613815735,1.2875065814353774,1.0,0.6734196629336524,0.683862656348555,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-06,0.003843059338437982,-0.01826814733422566,-0.04630498688439477,0.025864347222606304,1.4255199841824995,0.20999999999999996,1.2082916500382737,1.2474819801803143,1.0,0.6734196629336524,0.683862656348555,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-07,-0.043625351088963704,-0.04609692921318054,-0.08466037349210875,0.027392596455858457,1.4201801731962505,0.2999999999999998,1.1742515141035135,1.210996893966285,0.33853633373201797,-0.3312101583809258,0.683862656348555,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-08,-0.026720646723759955,-0.06563310306684755,-0.10623860009745378,0.027280669414374497,1.3729459529760235,0.27999999999999936,1.1429545585633665,1.1775577202559762,0.4006265459349769,-0.41364915277632114,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-09,0.005427960636045448,-0.08500690480510453,-0.09628817647868448,0.02737763704406989,0.6133536455357858,0.04999999999999982,1.1140503652476867,1.146762176179639,0.20265764048059928,-0.2022851764502452,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-10,0.018704357995862786,-0.042370619842377444,-0.07119396411673407,0.024106801109414246,0.6133536455357858,-0.040000000000000036,1.0872481729141827,1.118278665802241,-0.0,-1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-13,0.014025836312754336,-0.03218784286806109,-0.052070337827504254,0.024490163491499607,-0.6395480746150373,0.040000000000000036,1.0623044233829255,1.0918310726650629,0.48341746621308135,-1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-14,0.0,0.011437508220902615,-0.04697254785102967,0.024490163491499607,0.5960957652380361,0.13999999999999968,1.039013344384251,1.0671873686074516,1.0,0.661463666267982,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-15,-0.020656556829857564,0.017501598114805006,-0.06054977855206989,0.02403909150740082,0.8335476515366258,-0.040000000000000036,1.0171997311884755,1.0441509564543536,1.0,0.5993734540650231,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-16,-0.05029142093779626,-0.0382177834590367,-0.10065637867093091,0.025440288060169285,0.7800825526639743,0.16999999999999993,0.9967133450058335,1.0225540035833558,1.0,0.7973423595194007,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-17,0.04019628440120915,-0.01672585705369034,-0.052633169022736404,0.027828071996297634,0.7800825526639743,0.16999999999999993,0.9774245169459281,1.0022522470210962,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-20,0.022282503773351614,-0.008469189593093063,-0.023637865191067142,0.02859344945960406,1.7750256480628446,0.20999999999999996,0.9592206624580923,0.9831209010090021,0.9114479026995402,0.4280304364864589,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-21,0.0021883255176788907,-0.006280864075414172,-0.017751489279180355,0.02594553787410008,0.9278121137206274,0.03000000000000025,0.9420034914848067,0.9650514008095126,0.8919083823071005,-0.10809161769289954,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-22,-0.0086524721375687,0.005723220616874691,-0.02129767554923845,0.02537758446431443,0.32599655254722526,0.11000000000000032,0.9256867559662655,0.9479487880461648,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-23,0.0,0.05601464155467095,-0.017484462932085165,0.02491910068205991,0.32599655254722526,0.11000000000000032,0.9101944165188681,0.9317295933701836,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-24,-0.02044096328497247,-0.004622606131510665,-0.031709336941335486,0.024030073851183317,0.5272752398266634,-0.02999999999999936,0.8954591391170319,0.9163201083977787,0.3863844119633949,-0.6136155880366051,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-27,-0.009042614808027594,-0.03594772471288987,-0.03600830652395004,0.022820085896682635,0.06677571426313422,0.03000000000000025,0.881421053801054,0.9016549650751061,1.0,0.08855209730045976,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-28,0.02049387518319179,-0.017642175047376973,-0.012585308335004264,0.02333202630264633,0.5270989759956657,0.07000000000000028,0.8680267230940278,0.8876759598598556,1.0,0.10809161769289954,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-29,0.018798764522834688,0.009809061613026415,0.007843417323937452,0.023801285059376637,0.716190394116023,0.15000000000000036,0.8552282795041898,0.8743310743742749,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-11-30,-0.024705456238224954,-0.014896394625198539,-0.012756716847554195,0.023479909072288866,0.716190394116023,0.15000000000000036,0.8429827003061718,0.861573654875099,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-01,-0.02519629391888678,-0.01965172525911285,-0.03378447035210552,0.02353773160316394,0.22302544286896264,0.25,0.03665297749678213,-1.56480408635537,1.0,0.6136155880366051,0.9290952615338854,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-04,-0.014003355738484657,-0.024612466189569915,-0.04272696492241046,0.023556298193159225,-0.24939046208383164,0.10999999999999943,0.03636067312307906,-1.5220853706573083,1.0,0.0,0.9290952615338854,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-05,-0.009906520202791924,-0.05501286157555363,-0.04925856550132934,0.021791472327191995,-1.004177592850275,0.16000000000000014,0.036075250056806125,-1.482698553070633,1.0,0.0,0.9290952615338854,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-06,-0.04150207454231758,-0.1153137006407059,-0.08664664902884756,0.02284988713030243,-0.598835379945406,0.14999999999999947,0.035796442561086536,-1.4462315990794792,1.0,0.0,0.9290952615338854,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-07,-0.0005767012847259778,-0.09118494568720692,-0.0828091262027355,0.022757173853964717,-0.2976462741406172,0.23000000000000043,0.035523999042694474,-1.412340452469413,1.0,0.0,0.9290952615338854,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-08,0.026892137733384835,-0.039096514034935304,-0.05191215334538768,0.023262979106203528,-0.6822441438557147,-0.010000000000000675,0.03525768109902249,-1.3807352650162856,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-11,0.0012627150046764513,-0.023830443291774195,-0.0460064471513455,0.022914779015942653,-0.37784493914387873,0.04999999999999982,0.03499726264230858,-1.351169888648722,0.92510369563932,-0.07489630436067996,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-12,-0.038738496292139324,-0.052662419381121595,-0.07816502743951048,0.024107836022339412,0.09073501154470698,-0.020000000000000462,0.03474252909391937,-1.3234337543026005,0.20704815363199625,-0.7929518463680038,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-13,0.012456708001989725,0.0012963631631857098,-0.060784066675140025,0.024226979542316222,-0.5174499350387496,0.08000000000000007,0.034493276642076395,-1.297345522201432,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-14,0.029920700633089936,0.031793765081001624,-0.02994971935821411,0.022925825272023137,0.8565413473984096,0.21999999999999975,0.03424931155727831,-1.2727480643316889,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-15,-0.002097756170997833,0.002803871176618955,-0.029019126816764107,0.02078487837439258,0.8467158603751024,0.3200000000000003,0.034010449560167536,-1.2495044609316044,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-18,0.01445473395430863,0.015995890126251133,-0.011144655659056646,0.020352379194535815,0.8415758480879831,0.28000000000000025,0.033776515237131315,-1.2274947773916864,1.0,0.07489630436067996,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-19,0.013296063191044816,0.06803044960943527,0.005015757851718483,0.020662661420030655,1.009680838105531,0.27,0.0335473414994914,-1.2066134479354762,1.0,0.7929518463680038,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-20,0.010564909320216032,0.06613865092766158,0.017484148418776435,0.02082551981408731,1.3318245484581603,0.18000000000000016,0.033322769082442034,-1.1867671355482123,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-21,-0.004456154831895098,0.031761795462676545,0.015154282575317701,0.020827920621370854,0.21034003159700054,0.029999999999999805,0.033102646080378335,-1.1678729689837941,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-22,-0.0044761010644354116,0.029383450569238967,0.0120062273882926,0.020390392154034154,0.5643144794226118,0.010000000000000231,0.03288682751547568,-1.149857080767925,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-26,0.026957979296508228,0.041886695911438565,0.03849222285698328,0.02124466033132106,0.8528882447031205,0.06000000000000005,0.032675174936792485,-1.1326533872945876,0.9276217679495483,-0.07237823205045169,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-27,-0.019508903069361594,0.009081729651032155,0.02051147487243199,0.021143276713670785,0.8289582063765288,0.14000000000000012,0.03246755604737539,-1.1162025650244138,0.8310462748539903,-0.1689537251460097,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-12-28,-0.03208391452128634,-0.033567094190470215,-0.007500150611838841,0.02162447842546544,0.9478558014446636,0.020000000000000018,0.03226384435703413,-1.10045118658851,0.8610602894609051,-0.13893971053909493,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
